id,format,knob,level,replicate,answer,predicted,confidence,raw,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd
pbmc_c0_noise_2_r1_symbol,symbol,noise,2,1,CD8 T cells,cytotoxic CD8+ T cell,0.72,"{""cell_type"":""cytotoxic CD8+ T cell"",""confidence"":0.72}",stop,82,176,151,0.002276
pbmc_c0_noise_2_r0_ensembl,ensembl,noise,2,0,CD8 T cells,Natural killer (NK) cell,0.93,"{""cell_type"":""Natural killer (NK) cell"",""confidence"":0.93}",stop,113,314,291,0.003994
pbmc_c0_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,CD8 T cells,undetermined,0.05,"{""cell_type"":""undetermined"",""confidence"":0.05}",stop,50,1649,1630,0.019888
pbmc_c0_noise_2_r2_symbol,symbol,noise,2,2,CD8 T cells,CD8+ cytotoxic T cell,0.88,"{""cell_type"":""CD8+ cytotoxic T cell"",""confidence"":0.88}",stop,80,104,80,0.001408
pbmc_c0_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,CD8 T cells,monocyte,0.35,"{""cell_type"":""monocyte"",""confidence"":0.35}",stop,113,2393,2374,0.028942
pbmc_c0_noise_4_r0_symbol,symbol,noise,4,0,CD8 T cells,CCL5+ cytotoxic T cell,0.82,"{""cell_type"":""CCL5+ cytotoxic T cell"",""confidence"":0.82}",stop,83,100,75,0.001366
pbmc_c0_noise_2_r1_ensembl,ensembl,noise,2,1,CD8 T cells,Natural killer (NK) cell,0.82,"{""cell_type"":""Natural killer (NK) cell"",""confidence"":0.82}",stop,113,539,516,0.006694
pbmc_c0_noise_2_r2_ensembl,ensembl,noise,2,2,CD8 T cells,GZMK+ cytotoxic T cell,0.88,"{""cell_type"":""GZMK+ cytotoxic T cell"",""confidence"":0.88}",stop,113,304,279,0.003874
pbmc_c0_noise_4_r1_symbol,symbol,noise,4,1,CD8 T cells,CD8+ cytotoxic T cell,0.85,"{""cell_type"":""CD8+ cytotoxic T cell"",""confidence"":0.85}",stop,83,105,81,0.001426
pbmc_c0_noise_4_r0_ensembl,ensembl,noise,4,0,CD8 T cells,cytotoxic CD8+ T cell,0.84,"{""cell_type"":""cytotoxic CD8+ T cell"",""confidence"":0.84}",stop,113,481,456,0.005998
pbmc_c0_noise_4_r2_symbol,symbol,noise,4,2,CD8 T cells,CD8+ cytotoxic T cell,0.78,"{""cell_type"":""CD8+ cytotoxic T cell"",""confidence"":0.78}",stop,84,117,93,0.001572
pbmc_c0_noise_6_r0_symbol,symbol,noise,6,0,CD8 T cells,CD8+ cytotoxic T cell,0.9,"{""cell_type"":""CD8+ cytotoxic T cell"",""confidence"":0.9}",stop,83,127,103,0.00169
pbmc_c0_noise_4_r1_ensembl,ensembl,noise,4,1,CD8 T cells,cytotoxic T cell,0.82,"{""cell_type"":""cytotoxic T cell"",""confidence"":0.82}",stop,113,538,516,0.006682
pbmc_c0_noise_6_r1_symbol,symbol,noise,6,1,CD8 T cells,CD8+ T cell,0.82,"{""cell_type"":""CD8+ T cell"",""confidence"":0.82}",stop,86,92,70,0.001276
pbmc_c0_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,CD8 T cells,Cytotoxic CD8+ T cell,0.93,"{""cell_type"":""Cytotoxic CD8+ T cell"",""confidence"":0.93}",stop,80,78,53,0.001096
pbmc_c0_noise_6_r1_ensembl,ensembl,noise,6,1,CD8 T cells,T cell,0.86,"{""cell_type"":""T cell"",""confidence"":0.86}",stop,113,654,635,0.008074
pbmc_c0_noise_4_r2_ensembl,ensembl,noise,4,2,CD8 T cells,NK cell,0.85,"{""cell_type"":""NK cell"",""confidence"":0.85}",stop,113,1288,1269,0.015682
pbmc_c0_noise_6_r0_ensembl,ensembl,noise,6,0,CD8 T cells,cytotoxic CD8+ T cell,0.84,"{""cell_type"":""cytotoxic CD8+ T cell"",""confidence"":0.84}",stop,113,992,967,0.01213
pbmc_c0_noise_6_r2_symbol,symbol,noise,6,2,CD8 T cells,cytotoxic CD8+ T cell,0.72,"{""cell_type"":""cytotoxic CD8+ T cell"",""confidence"":0.72}",stop,84,541,516,0.00666
pbmc_c0_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,CD8 T cells,cytotoxic CD8+ T cell,0.9,"{""cell_type"":""cytotoxic CD8+ T cell"",""confidence"":0.9}",stop,80,77,52,0.001084
pbmc_c0_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,CD8 T cells,Cytotoxic CD8+ T cell,0.88,"{""cell_type"":""Cytotoxic CD8+ T cell"",""confidence"":0.88}",stop,113,416,391,0.005218
pbmc_c1_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,CD4 T cells,undetermined (ribosomal/low-information cluster),0.05,"{""cell_type"":""undetermined (ribosomal/low-information cluster)"",""confidence"":0.05}",stop,82,72,45,0.001028
pbmc_c0_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,CD8 T cells,cytotoxic CD8+ T cell,0.82,"{""cell_type"":""cytotoxic CD8+ T cell"",""confidence"":0.82}",stop,113,456,431,0.005698
pbmc_c0_noise_6_r2_ensembl,ensembl,noise,6,2,CD8 T cells,CD8 T cell,0.68,"{""cell_type"":""CD8 T cell"",""confidence"":0.68}",stop,113,944,923,0.011554
pbmc_c1_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,CD4 T cells,T cell,0.9,"{""cell_type"":""T cell"",""confidence"":0.9}",stop,88,54,35,0.000824
pbmc_c1_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,CD4 T cells,Unresolved/low-quality cell (ribosomal-gene dominated),0.98,"{""cell_type"":""Unresolved/low-quality cell (ribosomal-gene dominated)"",""confidence"":0.98}",stop,88,82,52,0.00116
pbmc_c1_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,CD4 T cells,T cell,0.82,"{""cell_type"":""T cell"",""confidence"":0.82}",stop,113,510,491,0.006346
pbmc_c1_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,CD4 T cells,T cell,0.9,"{""cell_type"":""T cell"",""confidence"":0.9}",stop,84,52,33,0.000792
pbmc_c1_n_genes_1_r0_symbol,symbol,n_genes,1,0,CD4 T cells,Unknown,0.01,"{""cell_type"":""Unknown"",""confidence"":0.01}",stop,47,41,23,0.000586
pbmc_c1_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,CD4 T cells,low-quality/ribosomal-high unresolved blood cell,0.9,"{""cell_type"":""low-quality/ribosomal-high unresolved blood cell"",""confidence"":0.9}",stop,113,1257,1231,0.01531
pbmc_c1_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,CD4 T cells,T cell,0.9,"{""cell_type"":""T cell"",""confidence"":0.9}",stop,113,464,445,0.005794
pbmc_c1_n_genes_3_r0_symbol,symbol,n_genes,3,0,CD4 T cells,Unknown/low-quality cluster,0.05,"{""cell_type"":""Unknown/low-quality cluster"",""confidence"":0.05}",stop,54,59,37,0.000816
pbmc_c1_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,CD4 T cells,Unknown,0.02,"{""cell_type"":""Unknown"",""confidence"":0.02}",stop,50,280,262,0.00346
pbmc_c1_n_genes_5_r0_symbol,symbol,n_genes,5,0,CD4 T cells,Low-quality/undetermined blood cell,0.05,"{""cell_type"":""Low-quality/undetermined blood cell"",""confidence"":0.05}",stop,62,46,22,0.000676
pbmc_c1_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,CD4 T cells,Unknown / insufficient marker specificity,0.02,"{""cell_type"":""Unknown / insufficient marker specificity"",""confidence"":0.02}",stop,64,490,468,0.006008
pbmc_c1_n_genes_10_r0_symbol,symbol,n_genes,10,0,CD4 T cells,Low-quality/undetermined (ribosomal-dominant cluster),0.98,"{""cell_type"":""Low-quality/undetermined (ribosomal-dominant cluster)"",""confidence"":0.98}",stop,82,90,60,0.001244
pbmc_c1_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,CD4 T cells,Low-quality/undetermined,0.05,"{""cell_type"":""Low-quality/undetermined"",""confidence"":0.05}",stop,113,869,847,0.010654
pbmc_c1_noise_2_r1_symbol,symbol,noise,2,1,CD4 T cells,Unassigned/low-quality cell,0.12,"{""cell_type"":""Unassigned/low-quality cell"",""confidence"":0.12}",stop,86,150,127,0.001972
pbmc_c1_noise_2_r2_symbol,symbol,noise,2,2,CD4 T cells,Low-quality/unclear,0.1,"{""cell_type"":""Low-quality/unclear"",""confidence"":0.1}",stop,87,119,97,0.001602
pbmc_c1_noise_2_r0_symbol,symbol,noise,2,0,CD4 T cells,monocyte,0.28,"{""cell_type"":""monocyte"",""confidence"":0.28}",stop,82,946,927,0.011516
pbmc_c1_noise_4_r0_symbol,symbol,noise,4,0,CD4 T cells,B cell,0.62,"{""cell_type"":""B cell"",""confidence"":0.62}",stop,86,152,133,0.001996
pbmc_c1_noise_0_r0_symbol,symbol,noise,0,0,CD4 T cells,Undetermined/low-quality cells,0.05,"{""cell_type"":""Undetermined/low-quality cells"",""confidence"":0.05}",stop,82,68,45,0.00098
pbmc_c1_noise_4_r1_symbol,symbol,noise,4,1,CD4 T cells,monocyte,0.62,"{""cell_type"":""monocyte"",""confidence"":0.62}",stop,87,119,100,0.001602
pbmc_c1_noise_2_r1_ensembl,ensembl,noise,2,1,CD4 T cells,low-quality/ambiguous (housekeeping-ribosomal dominated),0.12,"{""cell_type"":""low-quality/ambiguous (housekeeping-ribosomal dominated)"",""confidence"":0.12}",stop,113,1332,1302,0.01621
pbmc_c1_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,CD4 T cells,low-quality/undetermined (ribosomal protein–high),0.12,"{""cell_type"":""low-quality/undetermined (ribosomal protein–high)"",""confidence"":0.12}",stop,113,1581,1552,0.019198
pbmc_c1_noise_2_r0_ensembl,ensembl,noise,2,0,CD4 T cells,unknown/low-information blood cell cluster,0.2,"{""cell_type"":""unknown/low-information blood cell cluster"",""confidence"":0.2}",stop,113,1576,1552,0.019138
pbmc_c1_noise_0_r0_ensembl,ensembl,noise,0,0,CD4 T cells,Unassigned / ribosomal-protein-high low-quality cells,0.08,"{""cell_type"":""Unassigned / ribosomal-protein-high low-quality cells"",""confidence"":0.08}",stop,113,2370,2342,0.028666
pbmc_c1_noise_4_r2_symbol,symbol,noise,4,2,CD4 T cells,low-quality/undetermined cell,0.2,"{""cell_type"":""low-quality/undetermined cell"",""confidence"":0.2}",stop,85,415,392,0.00515
pbmc_c1_noise_6_r0_symbol,symbol,noise,6,0,CD4 T cells,plasmacytoid dendritic cell (pDC),0.58,"{""cell_type"":""plasmacytoid dendritic cell (pDC)"",""confidence"":0.58}",stop,86,397,368,0.004936
pbmc_c1_noise_2_r2_ensembl,ensembl,noise,2,2,CD4 T cells,Ribosomal-high / low-quality cells (unassigned),0.15,"{""cell_type"":""Ribosomal-high / low-quality cells (unassigned)"",""confidence"":0.15}",stop,113,1420,1391,0.017266
pbmc_c1_noise_4_r1_ensembl,ensembl,noise,4,1,CD4 T cells,Unassigned / low-quality (ribosomal-gene dominated),0.12,"{""cell_type"":""Unassigned / low-quality (ribosomal-gene dominated)"",""confidence"":0.12}",stop,113,914,885,0.011194
pbmc_c1_noise_6_r1_symbol,symbol,noise,6,1,CD4 T cells,undetermined/low-quality,0.25,"{""cell_type"":""undetermined/low-quality"",""confidence"":0.25}",stop,89,496,474,0.00613
pbmc_c1_noise_4_r0_ensembl,ensembl,noise,4,0,CD4 T cells,low-quality/technical (ribosomal-high) cells,0.45,"{""cell_type"":""low-quality/technical (ribosomal-high) cells"",""confidence"":0.45}",stop,113,1579,1552,0.019174
pbmc_c1_noise_6_r2_symbol,symbol,noise,6,2,CD4 T cells,B cell,0.62,"{""cell_type"":""B cell"",""confidence"":0.62}",stop,86,451,432,0.005584
pbmc_c1_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,CD4 T cells,CD4+ memory T cell,0.9,"{""cell_type"":""CD4+ memory T cell"",""confidence"":0.9}",stop,81,57,34,0.000846
pbmc_c1_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,CD4 T cells,unresolved/low-quality cluster,0.05,"{""cell_type"":""unresolved/low-quality cluster"",""confidence"":0.05}",stop,78,1958,1935,0.023652
pbmc_c1_noise_6_r2_ensembl,ensembl,noise,6,2,CD4 T cells,Platelet / megakaryocyte,0.96,"{""cell_type"":""Platelet / megakaryocyte"",""confidence"":0.96}",stop,113,526,502,0.006538
pbmc_c2_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,B cells,B cell,0.99,"{""cell_type"":""B cell"",""confidence"":0.99}",stop,92,17,0,0.000388
pbmc_c1_noise_6_r0_ensembl,ensembl,noise,6,0,CD4 T cells,KLRB1+ CD4 memory T cell,0.72,"{""cell_type"":""KLRB1+ CD4 memory T cell"",""confidence"":0.72}",stop,113,1563,1536,0.018982
pbmc_c1_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,CD4 T cells,CD4 memory T cell,0.93,"{""cell_type"":""CD4 memory T cell"",""confidence"":0.93}",stop,113,512,490,0.00637
pbmc_c2_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,B cells,B cell,0.96,"{""cell_type"":""B cell"",""confidence"":0.96}",stop,113,232,213,0.00301
pbmc_c2_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,B cells,Naive B cell,0.93,"{""cell_type"":""Naive B cell"",""confidence"":0.93}",stop,92,94,73,0.001312
pbmc_c1_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,CD4 T cells,Unknown/low-quality cell,0.05,"{""cell_type"":""Unknown/low-quality cell"",""confidence"":0.05}",stop,82,67,45,0.000968
pbmc_c1_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,CD4 T cells,Low-quality/undetermined (ribosomal-gene–dominated cluster),0.18,"{""cell_type"":""Low-quality/undetermined (ribosomal-gene–dominated cluster)"",""confidence"":0.18}",stop,113,1380,1348,0.016786
pbmc_c2_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,B cells,B cell,0.86,"{""cell_type"":""B cell"",""confidence"":0.86}",stop,86,102,83,0.001396
pbmc_c1_noise_4_r2_ensembl,ensembl,noise,4,2,CD4 T cells,platelet/megakaryocyte,0.32,"{""cell_type"":""platelet/megakaryocyte"",""confidence"":0.32}",stop,113,2436,2412,0.029458
pbmc_c2_rank_window_11-20_r0_ensembl,ensembl,rank_window,11-20,0,B cells,Naive B cell,0.9,"{""cell_type"":""Naive B cell"",""confidence"":0.9}",stop,113,537,516,0.00667
pbmc_c2_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,B cells,B cell,0.84,"{""cell_type"":""B cell"",""confidence"":0.84}",stop,84,69,50,0.000996
pbmc_c2_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,B cells,B cell,0.88,"{""cell_type"":""B cell"",""confidence"":0.88}",stop,113,430,411,0.005386
pbmc_c2_n_genes_1_r0_symbol,symbol,n_genes,1,0,B cells,B cell,0.55,"{""cell_type"":""B cell"",""confidence"":0.55}",stop,46,69,50,0.00092
pbmc_c2_n_genes_3_r0_symbol,symbol,n_genes,3,0,B cells,B cell,0.93,"{""cell_type"":""B cell"",""confidence"":0.93}",stop,55,60,41,0.00083
pbmc_c2_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,B cells,MHC class II-positive antigen-presenting cell (likely B cell),0.35,"{""cell_type"":""MHC class II-positive antigen-presenting cell (likely B cell)"",""confidence"":0.35}",stop,50,287,256,0.003544
pbmc_c2_n_genes_5_r0_symbol,symbol,n_genes,5,0,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,65,67,48,0.000934
pbmc_c1_noise_6_r1_ensembl,ensembl,noise,6,1,CD4 T cells,proliferating/cycling lymphocytes,0.72,"{""cell_type"":""proliferating/cycling lymphocytes"",""confidence"":0.72}",stop,113,3132,3106,0.03781
pbmc_c2_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,64,297,278,0.003692
pbmc_c2_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,78,218,199,0.002772
pbmc_c2_n_genes_10_r0_symbol,symbol,n_genes,10,0,B cells,B cell,0.99,"{""cell_type"":""B cell"",""confidence"":0.99}",stop,92,17,0,0.000388
pbmc_c2_noise_0_r0_symbol,symbol,noise,0,0,B cells,B cell,0.99,"{""cell_type"":""B cell"",""confidence"":0.99}",stop,92,17,0,0.000388
pbmc_c2_n_genes_10_r0_ensembl,ensembl,n_genes,10,0,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,113,278,259,0.003562
pbmc_c2_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,B cells,interferon-responsive B cell,0.78,"{""cell_type"":""interferon-responsive B cell"",""confidence"":0.78}",stop,113,1716,1693,0.020818
pbmc_c2_noise_0_r0_ensembl,ensembl,noise,0,0,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,113,207,188,0.00271
pbmc_c2_noise_2_r0_symbol,symbol,noise,2,0,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,91,77,58,0.001106
pbmc_c2_noise_2_r1_symbol,symbol,noise,2,1,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,88,89,70,0.001244
pbmc_c2_noise_2_r0_ensembl,ensembl,noise,2,0,B cells,B cell,0.99,"{""cell_type"":""B cell"",""confidence"":0.99}",stop,113,342,323,0.00433
pbmc_c2_noise_2_r2_symbol,symbol,noise,2,2,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,91,17,0,0.000386
pbmc_c2_noise_2_r1_ensembl,ensembl,noise,2,1,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,113,404,385,0.005074
pbmc_c2_noise_4_r0_symbol,symbol,noise,4,0,B cells,B cell,0.96,"{""cell_type"":""B cell"",""confidence"":0.96}",stop,93,86,67,0.001218
pbmc_c2_noise_2_r2_ensembl,ensembl,noise,2,2,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,113,360,341,0.004546
pbmc_c2_noise_4_r1_symbol,symbol,noise,4,1,B cells,B cell,0.93,"{""cell_type"":""B cell"",""confidence"":0.93}",stop,96,80,61,0.001152
pbmc_c2_noise_4_r0_ensembl,ensembl,noise,4,0,B cells,B cell,0.97,"{""cell_type"":""B cell"",""confidence"":0.97}",stop,113,349,330,0.004414
pbmc_c2_noise_4_r1_ensembl,ensembl,noise,4,1,B cells,B cell,0.95,"{""cell_type"":""B cell"",""confidence"":0.95}",stop,113,263,244,0.003382
pbmc_c2_noise_4_r2_symbol,symbol,noise,4,2,B cells,B cell,0.9,"{""cell_type"":""B cell"",""confidence"":0.9}",stop,94,179,160,0.002336
pbmc_c2_noise_6_r0_symbol,symbol,noise,6,0,B cells,B cell,0.93,"{""cell_type"":""B cell"",""confidence"":0.93}",stop,86,17,0,0.000376
pbmc_c2_noise_4_r2_ensembl,ensembl,noise,4,2,B cells,B cell,0.93,"{""cell_type"":""B cell"",""confidence"":0.93}",stop,113,390,371,0.004906
pbmc_c2_noise_6_r1_symbol,symbol,noise,6,1,B cells,B cell,0.86,"{""cell_type"":""B cell"",""confidence"":0.86}",stop,93,90,71,0.001266
pbmc_c2_noise_6_r0_ensembl,ensembl,noise,6,0,B cells,B cell,0.93,"{""cell_type"":""B cell"",""confidence"":0.93}",stop,113,389,370,0.004894
pbmc_c2_noise_6_r2_symbol,symbol,noise,6,2,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,95,68,49,0.001006
pbmc_c2_noise_6_r1_ensembl,ensembl,noise,6,1,B cells,B cell,0.96,"{""cell_type"":""B cell"",""confidence"":0.96}",stop,113,368,349,0.004642
pbmc_c2_ribo_filter_off_r0_symbol,symbol,ribo_filter,off,0,B cells,B cell,0.99,"{""cell_type"":""B cell"",""confidence"":0.99}",stop,92,17,0,0.000388
pbmc_c2_noise_6_r2_ensembl,ensembl,noise,6,2,B cells,B cell,0.95,"{""cell_type"":""B cell"",""confidence"":0.95}",stop,113,330,311,0.004186
pbmc_c2_ribo_filter_on_r0_symbol,symbol,ribo_filter,on,0,B cells,B cell,0.99,"{""cell_type"":""B cell"",""confidence"":0.99}",stop,92,17,0,0.000388
pbmc_c2_ribo_filter_off_r0_ensembl,ensembl,ribo_filter,off,0,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,113,250,231,0.003226
pbmc_c3_rank_window_1-10_r0_symbol,symbol,rank_window,1-10,0,CD14 Monocytes,Classical monocyte,0.98,"{""cell_type"":""Classical monocyte"",""confidence"":0.98}",stop,83,48,27,0.000742
pbmc_c2_ribo_filter_on_r0_ensembl,ensembl,ribo_filter,on,0,B cells,B cell,0.98,"{""cell_type"":""B cell"",""confidence"":0.98}",stop,113,234,215,0.003034
pbmc_c3_rank_window_11-20_r0_symbol,symbol,rank_window,11-20,0,CD14 Monocytes,Monocytes,0.82,"{""cell_type"":""Monocytes"",""confidence"":0.82}",stop,81,179,160,0.00231
pbmc_c3_rank_window_1-10_r0_ensembl,ensembl,rank_window,1-10,0,CD14 Monocytes,Classical monocyte,0.96,"{""cell_type"":""Classical monocyte"",""confidence"":0.96}",stop,113,418,397,0.005242
pbmc_c3_rank_window_31-40_r0_symbol,symbol,rank_window,31-40,0,CD14 Monocytes,Classical monocytes,0.96,"{""cell_type"":""Classical monocytes"",""confidence"":0.96}",stop,79,19,0,0.000386
pbmc_c3_rank_window_21-30_r0_symbol,symbol,rank_window,21-30,0,CD14 Monocytes,monocyte-derived dendritic cell,0.55,"{""cell_type"":""monocyte-derived dendritic cell"",""confidence"":0.55}",stop,82,539,516,0.006632
pbmc_c3_n_genes_1_r0_symbol,symbol,n_genes,1,0,CD14 Monocytes,Monocytes,0.65,"{""cell_type"":""Monocytes"",""confidence"":0.65}",stop,46,67,48,0.000896
pbmc_c3_rank_window_31-40_r0_ensembl,ensembl,rank_window,31-40,0,CD14 Monocytes,CD14+ classical monocyte,0.98,"{""cell_type"":""CD14+ classical monocyte"",""confidence"":0.98}",stop,113,378,355,0.004762
pbmc_c3_n_genes_1_r0_ensembl,ensembl,n_genes,1,0,CD14 Monocytes,Monocyte,0.65,"{""cell_type"":""Monocyte"",""confidence"":0.65}",stop,50,112,93,0.001444
pbmc_c3_rank_window_21-30_r0_ensembl,ensembl,rank_window,21-30,0,CD14 Monocytes,Monocyte,0.82,"{""cell_type"":""Monocyte"",""confidence"":0.82}",stop,113,935,916,0.011446
pbmc_c3_n_genes_3_r0_symbol,symbol,n_genes,3,0,CD14 Monocytes,CD14+ monocytes,0.95,"{""cell_type"":""CD14+ monocytes"",""confidence"":0.95}",stop,56,20,0,0.000352
pbmc_c3_n_genes_5_r0_symbol,symbol,n_genes,5,0,CD14 Monocytes,Classical monocytes,0.95,"{""cell_type"":""Classical monocytes"",""confidence"":0.95}",stop,63,19,0,0.000354
pbmc_c3_n_genes_3_r0_ensembl,ensembl,n_genes,3,0,CD14 Monocytes,CD14+ classical monocyte,0.78,"{""cell_type"":""CD14+ classical monocyte"",""confidence"":0.78}",stop,64,405,382,0.004988
pbmc_c3_n_genes_10_r0_symbol,symbol,n_genes,10,0,CD14 Monocytes,Classical monocyte,0.98,"{""cell_type"":""Classical monocyte"",""confidence"":0.98}",stop,83,47,26,0.00073
pbmc_c3_n_genes_5_r0_ensembl,ensembl,n_genes,5,0,CD14 Monocytes,Classical monocyte,0.98,"{""cell_type"":""Classical monocyte"",""confidence"":0.98}",stop,78,260,239,0.003276
